Year,Observed,ARIMA_Forecast,Continent,Prophet_Forecast
1953,,,Africa,0.09289641995405601
1953,,,Antarctica,-0.36237614397157375
1953,,,Asia,-0.12841202226959345
1953,,,Europe,0.023724069050407203
1953,,,North America,-0.10825909741002793
1953,,,Oceania,-0.06001171069018586
1953,,,South America,-0.1093160438501156
1954,,,Africa,0.09235713978145726
1954,,,Antarctica,-0.3473090624514674
1954,,,Asia,-0.12112796576704848
1954,,,Europe,0.028793505325461568
1954,,,North America,-0.10064299896425621
1954,,,Oceania,-0.05563367102736888
1954,,,South America,-0.10238319724043166
1955,,,Africa,0.09181785960885852
1955,,,Antarctica,-0.3322419809313612
1955,,,Asia,-0.11384390926450368
1955,,,Europe,0.0338629416005159
1955,,,North America,-0.09302690051848451
1955,,,Oceania,-0.05125563136455183
1955,,,South America,-0.09545035063074779
1956,,,Africa,0.09127857943561091
1956,,,Antarctica,-0.31717489923579717
1956,,,Asia,-0.10655985276573222
1956,,,Europe,0.0389323778761336
1956,,,North America,-0.0854133960709298
1956,,,Oceania,-0.046877611728635984
1956,,,South America,-0.08851750402147071
1957,,,Africa,0.09073782178243658
1957,,,Antarctica,-0.30206653786435494
1957,,,Asia,-0.09925583994778613
1957,,,Europe,0.04401570301825979
1957,,,North America,-0.0777790327070804
1957,,,Oceania,-0.04248759751837512
1957,,,South America,-0.0815656633118942
1958,,,Africa,0.09019854160918896
1958,,,Antarctica,-0.2869994561687911
1958,,,Asia,-0.09197178344901466
1958,,,Europe,0.049085139293877436
1958,,,North America,-0.07016552825952563
1958,,,Oceania,-0.03810957788245928
1958,,,South America,-0.0746328167026172
1959,,,Africa,0.08965926143686659
1959,,,Antarctica,-0.2719323744570316
1959,,,Asia,-0.08468772695403323
1959,,,Europe,0.054154575570398066
1959,,,North America,-0.06255253100970198
1959,,,Oceania,-0.03373155827963345
1959,,,South America,-0.06769997009304639
1960,,,Africa,0.08911998126454422
1960,,,Antarctica,-0.256865292745272
1960,,,Asia,-0.07740367045905167
1960,,,Europe,0.0592240118469187
1960,,,North America,-0.05493953375987834
1960,,,Oceania,-0.029353538676807626
1960,,,South America,-0.06076712348347543
1961,,,Africa,0.08857922361203228
1961,,,Antarctica,-0.24175693136753063
1961,,,Asia,-0.0700996576442676
1961,,,Europe,0.06430733699021939
1961,,,North America,-0.0473056789795738
1961,,,Oceania,-0.024963524510015926
1961,,,South America,-0.05381528277403901
1962,,,Africa,0.08803994343944524
1962,,,Antarctica,-0.22668984966568442
1962,,,Asia,-0.0628156011486494
1962,,,Europe,0.06937677326700833
1962,,,North America,-0.03969268172599127
1962,,,Oceania,-0.020585504917450377
1962,,,South America,-0.046882436164901425
1963,,,Africa,0.0875006632668582
1963,,,Antarctica,-0.21162276796383855
1963,,,Asia,-0.05553154465303143
1963,,,Europe,0.07444620954379723
1963,,,North America,-0.032079684472408866
1963,,,Oceania,-0.016207485324884793
1963,,,South America,-0.03994958955576399
1964,,,Africa,0.08696138309372337
1964,,,Antarctica,-0.1965556862621215
1964,,,Asia,-0.048247488158526274
1964,,,Europe,0.07951564581935211
1964,,,North America,-0.024466687213230035
1964,,,Oceania,-0.011829465752017368
1964,,,South America,-0.03301674294664775
1965,,,Africa,0.08642062544066217
1965,,,Antarctica,-0.1814473248845094
1965,,,Asia,-0.040943475344858045
1965,,,Europe,0.08459897096141537
1965,,,North America,-0.016832832427313642
1965,,,Oceania,-0.007439451604977695
1965,,,South America,-0.026064902237232596
1966,,,Africa,0.08588134526752736
1966,,,Antarctica,-0.1663802431827925
1966,,,Asia,-0.03365941885035289
1966,,,Europe,0.0896684072369702
1966,,,North America,-0.00921983516813481
1966,,,Oceania,-0.003061432032110269
1966,,,South America,-0.01913205562811635
1967,,,Africa,0.08534206509439256
1967,,,Antarctica,-0.15131316148107543
1967,,,Asia,-0.026375362355847733
1967,,,Europe,0.09473784351252508
1967,,,North America,-0.00160683790895598
1967,,,Oceania,0.0013165875407571575
1967,,,South America,-0.012199209019000108
1968,,,Africa,0.08480278492125773
1968,,,Antarctica,-0.13624607977935838
1968,,,Asia,-0.019091305861342507
1968,,,Europe,0.09980727978807996
1968,,,North America,0.00600615935022292
1968,,,Oceania,0.0056946071136246175
1968,,,South America,-0.005266362409883864
1969,,,Africa,0.08426202726819655
1969,,,Antarctica,-0.12113771840174628
1969,,,Asia,-0.011787293047674419
1969,,,Europe,0.10489060493014317
1969,,,North America,0.013640014136139174
1969,,,Oceania,0.010084621260664256
1969,,,South America,0.0016854782995312915
1970,,,Africa,0.08372274709506172
1970,,,Antarctica,-0.10607063670002922
